prompt_id,method,budget,round,selected_nodes,accepted_tokens,draft_time_s,comm_time_s,verify_time_s,total_round_time_s,round_tps,input_len,expansions,generated_candidates
0,bfs,8,8,8,3,0.014150384813547134,2.56e-08,0.03248624503612518,0.04663665544967232,64.32708287234347,29,8.0,32.0
0,bfs,8,9,8,3,0.014174789190292358,2.56e-08,0.030571918934583664,0.044746733724876024,67.04399964577105,32,8.0,32.0
0,bfs,8,10,8,2,0.014155484735965729,2.56e-08,0.030627533793449402,0.04478304412941513,44.659759935486996,35,8.0,32.0
0,greedy,8,1,8,1,0.014165602624416351,2.56e-08,0.0292816199362278,0.04344724816064415,23.016417433448193,13,8.0,32.0
0,greedy,8,2,8,3,0.01400412991642952,2.56e-08,0.029464304447174072,0.043468459963603594,69.01555754475586,14,8.0,32.0
0,greedy,8,3,8,2,0.014282774180173874,2.56e-08,0.03032178431749344,0.044604584097667314,44.83844072216322,17,8.0,32.0
0,greedy,8,4,8,2,0.014258913695812225,2.56e-08,0.030401285737752914,0.04466022503356514,44.782577752281064,19,8.0,32.0
0,greedy,8,5,8,5,0.014367107301950455,2.56e-08,0.030487902462482452,0.04485503536443291,111.47020528189509,21,8.0,32.0
0,greedy,8,6,8,3,0.014238093048334122,2.56e-08,0.030532728880643845,0.04477084752897797,67.00788940969339,26,8.0,32.0
0,greedy,8,7,8,3,0.014219176024198532,2.56e-08,0.03063797578215599,0.044857177406354524,66.87892938121016,29,8.0,32.0
0,greedy,8,8,8,5,0.014317810535430908,2.56e-08,0.030580539256334305,0.044898375391765215,111.3626040223506,32,8.0,32.0
0,chain,16,1,16,1,0.027462828904390335,5.12e-08,0.02959223836660385,0.05705511847099419,17.52691128857058,13,16.0,
0,chain,16,2,16,2,0.027647003531455994,5.12e-08,0.02965404838323593,0.05730110311469193,34.9033420176374,14,16.0,
0,chain,16,3,16,1,0.02736014872789383,5.12e-08,0.02965177595615387,0.0570119758840477,17.540174401845388,16,16.0,
0,chain,16,4,16,2,0.028110507875680923,5.12e-08,0.03064534068107605,0.05875589975675698,34.03913493419013,17,16.0,
0,chain,16,5,16,2,0.02728627249598503,5.12e-08,0.030617766082286835,0.05790408977827187,34.539874603995365,19,16.0,
0,chain,16,6,16,4,0.027763810008764267,5.12e-08,0.030740216374397278,0.05850407758316155,68.3713027406361,21,16.0,
0,chain,16,7,16,3,0.027468550950288773,5.12e-08,0.03075243905186653,0.05822104120215531,51.527762782245496,25,16.0,
0,chain,16,8,16,1,0.02763308957219124,5.12e-08,0.03346012905240059,0.06109326982459183,16.36841509500398,28,16.0,
0,chain,16,9,16,3,0.02750368043780327,5.12e-08,0.03568292781710625,0.06318665945490952,47.478376383243095,29,16.0,
0,chain,16,10,16,5,0.027626149356365204,5.12e-08,0.03094053640961647,0.05856673696598168,85.37269206075517,32,16.0,
0,bfs,16,1,16,1,0.028291676193475723,5.12e-08,0.02971610426902771,0.05800783166250344,17.239051544248724,13,16.0,64.0
0,bfs,16,2,16,3,0.028027120977640152,5.12e-08,0.030017860233783722,0.05804503241142388,51.6840093866425,14,16.0,64.0
0,bfs,16,3,16,2,0.028133023530244827,5.12e-08,0.030856892466545105,0.058989967196789936,33.904070387563024,17,16.0,64.0
0,bfs,16,4,16,2,0.028292734175920486,5.12e-08,0.030967339873313904,0.059260125249234394,33.74950679885441,19,16.0,64.0
0,bfs,16,5,16,3,0.02827136218547821,5.12e-08,0.030889157205820084,0.0591605705912983,50.70945006134303,21,16.0,64.0
0,bfs,16,6,16,3,0.02824617549777031,5.12e-08,0.03090289980173111,0.05914912649950142,50.7192612561284,24,16.0,64.0
0,bfs,16,7,16,3,0.030035212635993958,5.12e-08,0.031104307621717453,0.061139571457711414,49.068057372221176,27,16.0,64.0
0,bfs,16,8,16,2,0.028336506336927414,5.12e-08,0.03092363476753235,0.059260192304459766,33.74946860996746,30,16.0,64.0
0,bfs,16,9,16,3,0.02805313840508461,5.12e-08,0.030887965112924576,0.05894115471800919,50.8982223770951,32,16.0,64.0
0,bfs,16,10,16,2,0.028477799147367477,5.12e-08,0.030898764729499817,0.0593766150768673,33.683294297104275,35,16.0,64.0
0,greedy,16,1,16,1,0.02832167223095894,5.12e-08,0.02967558428645134,0.05799730771741028,17.24217966931263,13,16.0,64.0
0,greedy,16,2,16,4,0.028296008706092834,5.12e-08,0.029906589537858963,0.0582026494439518,68.72539374435067,14,16.0,64.0
0,greedy,16,3,16,1,0.028484486043453217,5.12e-08,0.030737068504095078,0.0592216057475483,16.885729243189235,18,16.0,64.0
0,greedy,16,4,16,2,0.02852315455675125,5.12e-08,0.030943825840950012,0.05946703159770127,33.632080604428744,19,16.0,64.0
0,greedy,16,5,16,7,0.029343869537115097,5.12e-08,0.031119544059038162,0.06046346479615326,115.7723928590567,21,16.0,64.0
0,greedy,16,6,16,4,0.028562933206558228,5.12e-08,0.030837494879961014,0.059400479286519245,67.33952399114375,28,16.0,64.0
0,greedy,16,7,16,5,0.02865663170814514,5.12e-08,0.030934713780879974,0.05959139668902512,83.90472916908229,32,16.0,64.0
1,chain,4,1,4,2,0.007635451853275299,1.28e-08,0.028877966105937958,0.036513430759213254,54.77436544347041,8,4.0,
1,chain,4,2,4,2,0.00690319761633873,1.28e-08,0.029031377285718918,0.035934587702057645,55.6566842113922,10,4.0,
1,chain,4,3,4,1,0.006831075996160507,1.28e-08,0.029198285192251205,0.03602937398841171,27.75513114165221,12,4.0,
1,chain,4,4,4,1,0.0068352483212947845,1.28e-08,0.03232228755950928,0.03915754868080406,25.537860098229878,13,4.0,
1,chain,4,5,4,1,0.007742833346128464,1.28e-08,0.030099499970674515,0.037842346116802976,26.42542290886067,14,4.0,
1,chain,4,6,4,2,0.007045615464448929,1.28e-08,0.029856178909540176,0.0369018071739891,54.19788766902819,15,4.0,
1,chain,4,7,4,1,0.007006693631410599,1.28e-08,0.029962245374917984,0.03696895180632858,27.049725543714594,17,4.0,
